Istasyon,Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
Fatih,12/18/2019,129.93339125,14.317038909091,2023.0597869565,104.24115869565,354.54612782609,250.30496147826
Fatih,12/19/2019,127.24762458333,11.879968416667,1945.4320208333,102.65474916667,343.893878625,241.23913891667
Fatih,12/20/2019,107.08841666667,8.8791515217391,1787.7292125,75.57096445,318.825784775,243.254804
Fatih,12/21/2019,123.95957791667,11.74436375,2103.0266333333,74.359146666667,248.89220014167,174.53305791667
Fatih,12/22/2019,119.31862375,14.609849958333,2212.0327916667,81.79148125,262.03143166667,180.23995166667
Fatih,12/23/2019,76.83005875,9.622554375,1174.0227083333,70.0244825,169.3171053875,99.292621125
Fatih,12/24/2019,56.9543,7.972228875,856.57275416667,54.053222166667,110.38551787083,56.3323036625
Fatih,12/25/2019,67.336532083333,9.2838407083333,1041.7808833333,65.111100416667,140.5587247875,75.447623766667
Fatih,12/26/2019,66.921069166667,10.388213652174,1180.8049956522,61.71733,118.35969902174,56.642368086957
Fatih,12/27/2019,44.214677083333,7.82716225,950.049575,35.30049125,57.066352333333,21.76586175
Fatih,12/28/2019,20.787779625,4.9184132727273,1009.8627958333,31.71542175,47.982801029167,16.267381541667
Fatih,12/29/2019,38.74771125,5.4255802916667,983.05867916667,38.5175525,75.8159136,37.2983625
Fatih,12/30/2019,33.680160125,5.7713665833333,884.64209166667,41.74269825,63.786243533333,22.0435470125
Fatih,12/31/2019,34.626739166667,5.226900125,746.93217083333,33.304579583333,50.3817939375,17.077214291667
Meydan,1/1/2019,,,,,
Meydan,1/2/2019,,,,,
Meydan,1/3/2019,,,,,
Meydan,1/4/2019,,,,,
Meydan,1/5/2019,,,,,
Meydan,1/6/2019,,,,,
Meydan,1/7/2019,,,,,
Meydan,1/8/2019,,23.091639541667,53.85831,82.00399375,28.145680583333
Meydan,1/9/2019,,29.03221115,,,
Meydan,1/10/2019,,28.630842782609,,,
Meydan,1/11/2019,,44.439545666667,,,
Meydan,1/12/2019,,23.774844291667,,,
Meydan,1/13/2019,,24.341384681818,,,
Meydan,1/14/2019,,33.236985291667,,,
Meydan,1/15/2019,,68.739142565217,,,
Meydan,1/16/2019,,22.851490958333,45.35741,72.029550869565,26.672139565217
Meydan,1/17/2019,,45.51450995,34.459116666667,78.7047875,44.2456725
Meydan,1/18/2019,30.618138083333,25.453738086957,26.763941722222,88.070398888889,61.306455555556
Meydan,1/19/2019,72.090878375,46.018887,65.415955833333,138.9606825,73.5447255
Meydan,1/20/2019,60.260871125,37.436498636364,54.989410416667,100.92184083333,45.932440208333
Meydan,1/21/2019,85.066217166667,51.1213535,78.158537916667,189.81256083333,111.65402545833
Meydan,1/22/2019,,,,,
Meydan,1/23/2019,,,,,
Meydan,1/24/2019,90.610218333333,37.452565375,,,
Meydan,1/25/2019,69.761518333333,35.333336272727,,,
Meydan,1/26/2019,106.44934041667,49.797798416667,,,
Meydan,1/27/2019,72.5671025,29.0016365,,,
Meydan,1/28/2019,66.653107083333,11.9938652,,,
Meydan,1/29/2019,85.940969166667,,,,
Meydan,1/30/2019,150.33040083333,72.925830125,101.94456608696,271.68260956522,169.73805695652
Meydan,1/31/2019,74.159905,24.708556636364,72.007454166667,158.14994708333,86.142486416667
Meydan,2/1/2019,45.275933083333,20.252786304348,62.027114166667,114.30956083333,52.282448583333
Meydan,2/2/2019,31.781077291667,,52.096774166667,82.051845416667,29.955071833333
Meydan,2/3/2019,41.924757791667,19.92302985,49.922969166667,100.85982833333,50.936854583333
Meydan,2/4/2019,100.7738975,63.479851173913,84.914814166667,228.71918,143.8043625
Meydan,2/5/2019,129.81912125,60.296573043478,85.2257,238.1571973913,152.93149391304
Meydan,2/6/2019,125.36688166667,61.870766666667,92.564384166667,264.78401708333,172.21965166667
Meydan,2/7/2019,42.277709166667,15.533257142857,56.238245416667,90.886101666667,34.64785
Meydan,2/8/2019,29.990082083333,,39.112263333333,62.6733625,23.56110225
Meydan,2/9/2019,35.107824583333,17.037479157895,48.029239166667,85.436751666667,37.407512458333
Meydan,2/10/2019,28.427396458333,16.853730222222,43.611467916667,67.017351666667,23.405883333333
Meydan,2/11/2019,28.975649791667,9.3528296666667,35.03122,62.03513875,27.003917083333
Meydan,2/12/2019,94.14217625,18.82853155,69.866913333333,180.50564,110.63872833333
Meydan,2/13/2019,41.813765833333,14.026146041667,44.7824175,72.545385833333,27.7629725
Meydan,2/14/2019,39.004318333333,11.6290099,46.17792,75.324175416667,29.146255916667
Meydan,2/15/2019,31.417778083333,23.459491521739,44.385254166667,78.465160416667,34.079907791667
Meydan,2/16/2019,31.308567916667,11.398159590909,40.843880833333,64.458954166667,23.615072916667
Meydan,2/17/2019,22.992216111111,8.2736039130435,40.930057083333,52.7934625,11.863404416667
Meydan,2/18/2019,,20.597866136364,51.128576666667,86.043284583333,34.914709208333
Meydan,2/19/2019,32.52054125,14.774283105263,41.632562916667,61.067547791667,19.434981583333
Meydan,2/20/2019,41.282235625,23.067437555556,50.57347,96.663887083333,46.090410458333
Meydan,2/21/2019,61.136179583333,25.702353416667,58.879614166667,108.36277833333,49.483166208333
Meydan,2/22/2019,52.099470833333,,50.682079166667,75.293097083333,24.611018458333
Meydan,2/23/2019,65.202217083333,12.923052608696,61.331399583333,101.206685,39.875290833333
Meydan,2/24/2019,41.723634583333,,41.01825375,53.977113333333,12.958858791667
Meydan,2/25/2019,30.966041458333,15.293278545455,41.484930833333,55.973065,14.488134708333
Meydan,2/26/2019,27.045660625,,35.889882173913,74.799440434783,38.909557782609
Meydan,2/27/2019,31.721718333333,28.202479958333,,,
Meydan,2/28/2019,34.887396041667,35.126560916667,,,
Meydan,3/1/2019,47.81579875,48.250320478261,,,
Meydan,3/2/2019,53.6345375,45.168108333333,,,
Meydan,3/3/2019,26.414889375,24.866985041667,,,
Meydan,3/4/2019,58.576594166667,23.893102833333,,,
Meydan,3/5/2019,78.66405173913,45.890036666667,,,
Meydan,3/6/2019,40.150359958333,35.816768333333,68.240341904762,96.312475285714,28.072134238095
Meydan,3/7/2019,44.295333333333,40.040487083333,67.544840833333,98.532086458333,30.987245
Meydan,3/8/2019,41.138068083333,23.075498166667,57.423975416667,84.090190583333,26.666215666667
