Istasyon,Tarih,PM10,CO,NO2,NOX,NO
Besirli,4/12/2019,35.598978391304,451.2992125,50.79318795,78.78350938,27.990318305
Besirli,4/13/2019,33.712288333333,505.37837916667,55.189175454545,81.688977613636,26.499802
Besirli,4/14/2019,44.186679166667,567.7530625,54.09114625,80.373862520833,26.282716475
Besirli,4/15/2019,35.433140833333,438.70987083333,45.404083047619,66.546184095238,21.142100890476
Besirli,4/16/2019,16.046992833333,449.69425416667,,,
Besirli,4/17/2019,16.779228666667,393.9899375,39.00813073913,51.386468834783,12.37833886087
Besirli,4/18/2019,27.678827869565,543.525775,50.746125714286,85.771648938095,35.02552442381
Besirli,4/19/2019,29.350656086957,580.5072,43.033867916667,58.0697075,15.035839566667
Besirli,4/20/2019,25.548865333333,467.00442083333,50.362659047619,73.502127347619,23.139468238095
Besirli,4/21/2019,19.006194958333,486.3346,47.245920952381,66.9358208,19.689900190476
Besirli,4/22/2019,24.5643755,572.7556,45.872835125,64.723794904167,18.850959170833
Besirli,4/23/2019,30.744287083333,554.47572083333,37.157080416667,48.676626270833,11.51954495
Besirli,4/24/2019,33.988487083333,589.34520416667,44.5016725,65.356685875,20.855012995833
Besirli,4/25/2019,39.845589565217,597.25527083333,43.030053333333,58.278921070833,15.2488687125
Besirli,4/26/2019,36.065785,559.40912083333,39.277081666667,55.2826592375,16.005576025
Besirli,4/27/2019,36.369735416667,549.5424625,33.788191666667,42.5045609125,8.7163695
Besirli,4/28/2019,49.484952916667,690.27081666667,50.91725625,71.69580935,20.778552458333
Besirli,4/29/2019,57.71987,631.33932083333,71.489345833333,108.32983865833,36.840494583333
Besirli,4/30/2019,55.314460833333,439.87038333333,48.888130083333,77.303898270833,28.415767383333
Besirli,5/1/2019,60.945830434783,390.73367916667,63.104498708333,93.787429833333,30.682929045833
Besirli,5/2/2019,54.081559583333,363.07641666667,48.971187916667,64.120956941667,15.149769458333
Besirli,5/3/2019,33.07932625,426.3353,53.30057175,71.174934808333,17.874364008333
Besirli,5/4/2019,33.052741666667,461.2648625,53.115742916667,69.813404233333,16.6976612
Besirli,5/5/2019,32.587785652174,499.17736666667,39.563791666667,62.577464645833,23.013673829167
Besirli,5/6/2019,56.80992,520.78014583333,63.951158333333,103.415644425,39.464489291667
Besirli,5/7/2019,58.923162916667,406.98201666667,51.198679166667,76.2266112,25.027931708333
Besirli,5/8/2019,32.511970833333,308.690725,33.097997083333,42.638347404167,9.5403514291667
Besirli,5/9/2019,17.025462833333,344.85010416667,30.910752541667,41.169194195833,10.2584405875
Besirli,5/10/2019,24.995165,446.26955833333,41.233135,60.80551355,19.572379583333
Besirli,5/11/2019,31.156111304348,409.91567916667,38.697604333333,53.197312525,14.4997084375
Besirli,5/12/2019,26.738082083333,435.02937916667,37.378407458333,49.100144979167,11.721737166667
Besirli,5/13/2019,27.0084925,427.63537083333,36.969560833333,52.147320529167,15.177759016667
Besirli,5/14/2019,32.178061666667,426.97035416667,36.0923425,53.593221408333,17.500879929167
Besirli,5/15/2019,34.728085652174,376.7296,41.539585416667,59.069958054167,17.530372333333
Besirli,5/16/2019,,,,,
Besirli,5/17/2019,,,,,
Besirli,5/18/2019,,,,,
Besirli,5/19/2019,,,,,
Besirli,5/20/2019,,,,,
Besirli,5/21/2019,25.089270416667,504.4567,31.622617,45.94196843,14.31934985
Besirli,5/22/2019,,,,,
Besirli,5/23/2019,,,,,
Besirli,5/24/2019,,,,,
Besirli,5/25/2019,,,,,
Besirli,5/26/2019,,,,,
